contingency,converged,v_violations,thermal_violations,worst_voltage_pu,worst_loading_pct,worst_v_bus,worst_load_line
L00_Gomti_N_Mohaan_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L01_Hanuman_Khurram,True,0,11,1.0,247.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L02_Khurram_Sahara_,True,0,11,1.0,247.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L03_Hanuman_Indira_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L04_Khurram_Gomti_N,True,0,11,1.0,247.6,Neebu_Park_TRT,L13_Neebu_P_NKN
L05_Khurram_Mohaan_,True,0,12,1.0,247.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L06_Hanuman_Rahimab,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L07_NKN_Indira_,True,0,11,1.0,244.7,Neebu_Park_TRT,L13_Neebu_P_NKN
L08_Mohaan__Mohanla,True,0,11,1.0,247.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L09_Hanuman_Mohanla,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L10_Neebu_P_SGPGI,True,0,11,1.0,270.8,Neebu_Park_TRT,L13_Neebu_P_NKN
L11_NKN_Rahimab,True,0,11,1.0,245.7,Neebu_Park_TRT,L13_Neebu_P_NKN
L12_Sahara__Rahimab,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L13_Neebu_P_NKN,True,0,11,1.0,294.4,Neebu_Park_TRT,L39_Neebu_P_Khurram
L14_Martinp_Gomti_N,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L15_Sahara__Awas_Vi,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L16_SGPGI_NKN,True,0,11,1.0,242.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L17_Martinp_Hanuman,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L18_Martinp_Sahara_,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L19_Neebu_P_Awas_Vi,True,0,11,1.0,259.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L20_SGPGI_Chinhat,True,0,11,1.0,247.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L21_SGPGI_Awas_Vi,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L22_Martinp_Mohaan_,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L23_Rahimab_Mohaan_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L24_Gomti_N_Awas_Vi,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L25_Indira__Rahimab,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L26_Gomti_N_Chinhat,True,0,10,1.0,247.6,Neebu_Park_TRT,L13_Neebu_P_NKN
L27_Khurram_NKN,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L28_Hanuman_Sahara_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L29_NKN_Gomti_N,True,0,11,1.0,244.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L30_Hanuman_Mohaan_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L31_NKN_Sahara_,True,0,11,1.0,245.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L32_Khurram_Awas_Vi,True,0,11,1.0,247.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L33_NKN_Mohaan_,True,0,11,1.0,245.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L34_Chinhat_Awas_Vi,True,0,11,1.0,247.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L35_Neebu_P_Martinp,True,0,11,1.0,274.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L36_Neebu_P_Indira_,True,0,11,1.0,261.6,Neebu_Park_TRT,L13_Neebu_P_NKN
L37_SGPGI_Khurram,True,0,11,1.0,247.7,Neebu_Park_TRT,L13_Neebu_P_NKN
L38_Martinp_SGPGI,True,0,11,1.0,247.0,Neebu_Park_TRT,L13_Neebu_P_NKN
L39_Neebu_P_Khurram,True,0,11,1.0,305.8,Neebu_Park_TRT,L13_Neebu_P_NKN
L40_Neebu_P_Rahimab,True,0,11,1.0,257.6,Neebu_Park_TRT,L13_Neebu_P_NKN
L41_SGPGI_Indira_,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L42_Martinp_NKN,True,0,11,1.0,244.9,Neebu_Park_TRT,L13_Neebu_P_NKN
L43_Martinp_Awas_Vi,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L44_Neebu_P_Mohanla,True,0,11,1.0,254.0,Neebu_Park_TRT,L13_Neebu_P_NKN
L45_SGPGI_Rahimab,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L46_Martinp_Chinhat,True,0,11,1.0,247.6,Neebu_Park_TRT,L13_Neebu_P_NKN
L47_Sahara__Mohanla,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L48_Indira__Sahara_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L49_Gomti_N_Indira_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L50_Gomti_N_Rahimab,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L51_Khurram_Indira_,True,0,11,1.0,247.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L52_Hanuman_NKN,True,0,11,1.0,245.0,Neebu_Park_TRT,L13_Neebu_P_NKN
L53_Hanuman_Awas_Vi,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L54_Rahimab_Awas_Vi,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L55_Khurram_Rahimab,True,0,11,1.0,247.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L56_NKN_Awas_Vi,True,0,11,1.0,245.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L57_Khurram_Mohanla,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L58_NKN_Chinhat,True,0,11,1.0,244.5,Neebu_Park_TRT,L13_Neebu_P_NKN
L59_Neebu_P_Hanuman,True,0,11,1.0,268.8,Neebu_Park_TRT,L13_Neebu_P_NKN
L60_Neebu_P_Sahara_,True,0,11,1.0,267.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L61_Sahara__Mohaan_,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L62_Martinp_Khurram,True,0,11,1.0,247.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L63_Neebu_P_Gomti_N,True,0,11,1.0,261.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L64_Neebu_P_Mohaan_,True,0,11,1.0,260.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L65_SGPGI_Hanuman,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L66_Martinp_Indira_,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L67_SGPGI_Sahara_,True,0,11,1.0,247.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L68_SGPGI_Gomti_N,True,0,10,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L69_SGPGI_Mohaan_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L70_Martinp_Rahimab,True,0,11,1.0,247.2,Neebu_Park_TRT,L13_Neebu_P_NKN
L71_Rahimab_Mohanla,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L72_Awas_Vi_Mohaan_,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L73_Indira__Awas_Vi,True,0,11,1.0,247.3,Neebu_Park_TRT,L13_Neebu_P_NKN
L74_Gomti_N_Sahara_,True,0,11,1.0,247.4,Neebu_Park_TRT,L13_Neebu_P_NKN
L75_Indira__Chinhat,True,0,11,1.0,247.8,Neebu_Park_TRT,L13_Neebu_P_NKN
